taxid	truth_taxid	count
517	743273	99986
1350	1072576	98940
1763	487521	98818
44249	392917	98318
338	427081	96084
482	546265	91366
209	537971	90360
836	910312	90189
662	675811	89262
2747	1087479	86735
662	1051649	86486
1243	927691	85389
586	471874	77039
2053	1077976	69803
1678	548480	62876
52972	365044	51171
407	460265	46160
138	314723	42945
332246	795797	41519
357	311402	39635
407	426355	39630
43988	497965	37988
522	926570	37663
69965	458233	37432
1129	32049	36850
1177	103690	35796
64895	521010	34477
105	761193	34421
551	465817	33696
191	137722	32888
1678	398513	30309
657	314280	29247
434	634452	29189
1298	693977	28676
2237	272569	26487
511434	511995	26176
1434011	634177	24915
76890	573065	23715
29330	521098	23708
119977	637389	23579
1298	546414	23543
43988	395961	23505
387342	797210	22989
911	323097	22944
449972	266779	22848
84565	343509	22740
32207	563032	21238
165696	702113	20505
830	515622	20462
1663	290399	20244
551	644651	20061
64895	498743	19796
532	395963	17773
1822464	882378	17731
53945	391616	17682
52972	296591	17345
63742	547559	17087
97050	292414	17081
41707	363253	16928
551	716540	16881
32008	1097668	16680
33986	262543	16386
81682	582744	15781
2239	64091	15277
1730	515620	15173
1742993	930171	14340
129337	471223	14128
551759	76114	14109
302485	391619	13842
43988	41431	13788
551	634500	13734
357	311403	13397
1578	362948	13322
265	318586	12877
88723	797303	12788
1386	398511	12343
32068	526218	12044
194	360104	11945
499	309801	11899
305976	1007105	11867
1082930	1082931	11861
42837	429009	11851
1227	472759	11824
1184396	660470	11793
872	391774	11753
2723	582402	11736
1742992	290340	11674
2260	272844	11631
2222	990316	11561
629	349747	11556
1243	762051	11548
1081	269796	11546
662	314288	11483
45662	485915	11476
780	315456	11448
2233	572546	11431
29548	518766	11420
364316	391735	11363
2295	177437	11355
2053	526226	11239
97050	246200	11209
2060	521096	11158
208447	670487	11148
413496	693216	11102
1883	100226	11099
32008	482957	11095
71666	716544	10960
458032	981222	10959
810	243161	10918
1652133	862908	10904
106589	266264	10630
547	399742	10502
810	264202	10456
84593	263358	10453
2263	391623	10442
1839	196162	10317
214906	205914	10291
270	1111069	10140
1243	1229758	10031
613	682634	9983
48736	267608	9941
2321	644295	9882
39773	1091494	9696
32008	640512	9502
48736	402626	9439
1227	323261	9437
165697	317655	9416
662	338187	9382
445	661367	9258
401618	515618	9041
1883	1003195	9008
22	60481	8957
182899	123214	8711
150022	334413	8703
338	316273	8700
2747	208596	8668
155493	1005058	8660
1883	591167	8580
629	393305	8348
171	267671	8237
1301	706437	8192
773	634504	8092
1485	272562	7989
28196	944547	7963
1263	246199	7902
270	262724	7635
106589	381666	7472
196118	573064	7392
262	484022	7359
155862	647113	7305
138	412418	7265
32008	269482	7227
196118	644281	6928
160798	443254	6834
165695	452662	6762
89404	983545	6544
53572	639282	6436
22	94122	6196
392733	401053	5966
54258	453591	5955
1107	326427	5953
213485	856793	5953
1234	330214	5940
146	889378	5939
105850	666510	5939
475087	521011	5936
43673	471856	5933
18	338963	5933
60892	880072	5928
498845	374847	5927
129001	643648	5926
471826	477974	5922
2270	999630	5921
416	857087	5915
33973	240015	5912
162171	156889	5912
29526	335543	5909
43773	56780	5906
872	525146	5903
316625	203122	5903
239934	349741	5902
2276	384616	5896
146	665571	5893
84108	471855	5891
208215	314260	5878
28048	351607	5875
10	498211	5868
1091	290315	5867
399320	158189	5862
872	690850	5860
1099	319225	5856
1763	561304	5856
157	906968	5856
28253	717774	5851
256319	517417	5849
869	246195	5848
914	261292	5848
100715	517418	5848
843	273121	5848
28263	644284	5847
1099	324925	5845
269260	749222	5844
332248	649638	5841
22	326297	5834
146825	519442	5830
2260	529709	5829
89404	1085623	5829
81461	525903	5827
157	545694	5823
291988	555079	5821
44013	312153	5821
120652	395965	5821
1716	945711	5816
286801	640132	5813
2233	224325	5811
29580	375286	5810
41980	399549	5809
914	228410	5800
359407	583345	5794
41980	1006006	5793
399320	158190	5787
2192	410358	5786
541	264203	5783
1485	1042156	5783
252965	697281	5783
112040	63186	5782
1091	290317	5779
1048757	903503	5779
68335	309798	5773
670486	552811	5770
186191	869210	5768
157	744872	5764
29404	1032480	5762
61434	255470	5760
862	335541	5759
28253	491952	5759
22	425104	5750
81466	572547	5750
1129	316279	5749
28253	400668	5748
22	225849	5741
119977	743299	5741
22	318161	5737
651456	521045	5736
904	591001	5732
261963	523791	5730
36853	138119	5727
872	207559	5719
164450	572478	5718
1730	903814	5704
83677	269800	5701
2035811	643562	5687
22	458817	5686
51196	645991	5684
117999	522772	5683
1851	471857	5668
22	392500	5661
111500	886377	5661
22	637905	5655
1678	442563	5653
22	398579	5651
43947	595494	5645
810	182082	5633
1643951	688269	5625
202907	1005048	5620
2260	342949	5605
168470	557598	5604
146785	197221	5600
241192	667014	5598
1637257	699246	5595
1129	64471	5594
67572	357804	5584
53335	706191	5582
110932	281090	5577
67572	314282	5577
2175	547558	5576
1129	321327	5575
816	693979	5574
22	323850	5535
1380	521095	5532
2093	272634	5529
2263	1042877	5528
475	1236608	5527
133193	187272	5504
40136	504832	5488
745	272843	5486
2225	259564	5482
1298	709986	5480
1743	754252	5473
929509	929556	5465
33993	434131	5454
46254	203123	5454
1485	212717	5444
28231	243231	5417
1386	649639	5415
906	1064535	5398
171	355276	5393
2284	330779	5393
28231	443144	5386
411566	696127	5382
29574	1008459	5377
122277	561230	5364
6	438753	5364
33057	85643	5358
162027	502025	5356
209	679897	5350
2279	591019	5349
252356	313603	5335
230355	679926	5331
2422	771875	5328
41275	633149	5326
626	406818	5322
379546	439481	5280
499228	1209989	5276
1911556	573413	5262
226	715451	5247
65551	504728	5240
1253	278197	5240
34019	537021	5237
2263	604354	5232
2260	186497	5215
2279	399550	5214
75	190650	5196
1506553	357809	5179
79206	768704	5147
53460	479431	5138
84404	760142	5134
281119	452471	5131
74968	333146	5126
114627	350688	5119
146937	640081	5105
114627	293826	5100
157	243275	5099
29487	243265	5087
44249	985665	5083
12914	933801	5061
32636	373903	5058
1763	875328	5054
590	218493	5050
152053	639283	5049
326319	983548	5031
57499	478801	5030
1827	525370	5016
2422	381764	5011
194	360106	4999
51668	945021	4995
182709	221109	4994
191291	598659	4976
773	283165	4975
1637	881621	4970
1485	195102	4950
2093	859194	4947
83618	1045855	4913
34084	693978	4906
1854	298653	4861
1301	218495	4847
1508657	203119	4846
191494	469383	4838
338	190485	4828
34098	1075399	4814
768	234826	4795
104264	688270	4792
2273	768672	4783
2160	877455	4774
1637	683837	4769
963	757424	4761
88	395495	4720
810	218497	4708
44259	546269	4705
953	292805	4694
1637	386043	4688
1205	203124	4673
836	242619	4658
43668	446465	4651
2147	441768	4645
1279	937773	4611
568987	572265	4595
2184	406327	4564
2093	243272	4518
1707	593907	4511
249529	273068	4496
1707	446466	4489
186831	1511	4482
2093	710128	4477
28231	404380	4461
780	347255	4437
286	384676	4426
1357	272623	4336
69474	334380	4270
413	243233	4259
40566	446462	4237
68287	765698	4207
13	309799	4192
83618	743721	4110
81682	887061	4074
2420	391009	4067
2184	419665	4058
1301	873447	4017
194	306263	4003
212790	204536	4000
1485	573061	3998
34104	519441	3974
12916	397945	3933
203804	203907	3924
29521	565034	3883
943	205920	3852
2420	484019	3733
135575	283942	3652
1386	281309	3592
68287	754035	3587
1883	680198	3569
2093	347257	3483
943	254945	3443
561	585054	3435
780	449216	3427
49082	1041504	3362
52959	313598	3360
283	688245	3357
568394	748280	3328
2093	289397	3327
32199	198804	3314
2063	452652	3251
2093	347256	3184
2093	512564	3107
482	242231	3102
129957	246194	3092
278993	635013	3051
22	60480	2980
64895	290434	2930
44000	608506	2785
2316	339860	2781
270	743525	2735
