taxid	truth_taxid	count
1301	210007	360000
1060	349101	359996
1279	176280	359629
836	431947	357975
561	511145	149862
1485	864803	36000
1386	222523	35956
1301	208435	35639
1279	451515	35450
286	287	34882
1578	324831	3600
209	85962	3600
482	122586	3593
469	400667	3590
1912216	1091045	3551
544	511145	474
816	435590	400
1350	474186	400
1298	243230	400
1678	367928	400
547	511145	280
620	511145	241
590	511145	203
570	511145	203
413496	511145	87
1330547	511145	73
53335	511145	72
613	511145	71
1654	411466	68
1330545	511145	52
629	511145	48
1330546	511145	43
551	511145	42
83654	511145	42
160674	511145	39
662	511145	34
122277	511145	33
642	511145	31
158483	511145	23
635	511145	22
204037	511145	21
626	511145	20
447792	511145	20
286	511145	18
568	511145	18
1335483	511145	16
1565532	511145	13
29487	511145	13
581	511145	13
82986	511145	12
1386	176280	12
22	511145	11
702	511145	10
32199	511145	9
71655	511145	9
84565	511145	8
929812	511145	7
82984	511145	7
34037	511145	6
2742	511145	6
53246	511145	6
838	431947	5
586	511145	5
1716	411466	5
135575	511145	4
517	287	4
338	287	4
2745	511145	4
469	511145	4
583	511145	4
43947	511145	4
48736	287	3
1678	411466	3
93217	511145	3
1745211	511145	3
12916	287	3
379	511145	3
1386	511145	3
1485	176280	3
1906657	511145	3
1623287	287	3
1707	411466	3
568987	511145	3
48073	511145	3
475	511145	3
106633	511145	2
1301	511145	2
82982	511145	2
1663	411466	2
1279	511145	2
149698	287	2
1751872	511145	2
1069494	411466	2
226	511145	2
225143	511145	2
1193515	287	2
213485	511145	2
1578	511145	2
254250	411466	2
1759331	411466	2
416916	511145	2
106589	287	2
2093	451515	2
2093	511145	2
187492	511145	2
10	511145	2
58050	511145	2
28105	511145	2
32207	411466	2
1048757	511145	2
1906661	511145	2
44011	511145	2
482	511145	2
1227	511145	2
745	511145	2
96	511145	2
365348	511145	2
1847	411466	2
261825	511145	2
195950	431947	1
146918	511145	1
1007	451515	1
83614	511145	1
198251	511145	1
724	511145	1
32008	511145	1
838	511145	1
447237	411466	1
642	287	1
504090	511145	1
1217416	511145	1
2351	511145	1
160798	176280	1
1578	451515	1
283	511145	1
88	511145	1
1434050	511145	1
68287	511145	1
713	511145	1
2697	511145	1
110932	411466	1
1906659	511145	1
1729679	511145	1
267408	411466	1
202907	511145	1
13134	287	1
875170	511145	1
392733	511145	1
32008	287	1
88	411466	1
1091	511145	1
161492	511145	1
1016	431947	1
511678	511145	1
196082	411466	1
1253	511145	1
1279	208435	1
648800	176280	1
51228	511145	1
265	511145	1
946234	511145	1
1205	511145	1
72763	411466	1
55080	176280	1
59732	511145	1
644652	411466	1
168470	287	1
404432	511145	1
1129	511145	1
28884	511145	1
1883	411466	1
84404	511145	1
409304	511145	1
133925	411466	1
1041	511145	1
1865	511145	1
214906	511145	1
1392389	176280	1
1380	511145	1
674734	511145	1
314343	511145	1
1060	511145	1
497	511145	1
1870884	208435	1
2747	176280	1
119977	511145	1
1386	451515	1
1822464	287	1
48736	511145	1
2094023	511145	1
34072	411466	1
34072	511145	1
1827	411466	1
373984	176280	1
642	411466	1
2330	511145	1
1005038	511145	1
201096	511145	1
85072	511145	1
1537406	511145	1
1099	511145	1
682522	511145	1
182899	176280	1
1706036	511145	1
12960	511145	1
846	511145	1
42837	176280	1
50	411466	1
447467	511145	1
657	511145	1
203804	511145	1
906	176280	1
338	511145	1
1822464	511145	1
1649	511145	1
53392	511145	1
33882	511145	1
33882	411466	1
1678	511145	1
227873	511145	1
613	287	1
45669	176280	1
1182780	511145	1
432330	176280	1
41275	411466	1
28895	176280	1
33057	511145	1
914	511145	1
347533	511145	1
53335	176280	1
361177	511145	1
1551504	176280	1
194	511145	1
75984	511145	1
1679002	511145	1
187144	511145	1
74032	511145	1
40323	511145	1
1716	511145	1
872	176280	1
953	511145	1
399320	511145	1
28228	511145	1
2370	511145	1
1518149	511145	1
230494	511145	1
1372	511145	1
872	511145	1
404	511145	1
459786	511145	1
63132	176280	1
2013	411466	1
156885	511145	1
963	511145	1
67572	511145	1
292635	176280	1
1912503	176280	1
